id,description,vendor,cwe_category,cwe_explanation,cause,impact,published,cvss_score,severity,source,description_without_punct,description_normalized,explanation
NVD:CVE-2024-3935,"In Eclipse Mosquito, versions from 2.0.0 through 2.0.18, if a Mosquitto broker is configured to create an outgoing bridge connection, and that bridge connection has an incoming topic configured that makes use of topic remapping, then if the remote connection sends a crafted PUBLISH packet to the bro",Eclipse Mosquitto,CWE-119,Improper Restriction of Operations within the Bounds of a Memory Buffer,Improper handling of crafted PUBLISH packets during topic remapping in bridge connections,Denial of Service (broker crash),2024-10-30T12:15:03,6.5,MEDIUM,vulners,in eclipse mosquito versions from 200 through 2018 if a mosquitto broker is configured to create an outgoing bridge connection and that bridge connection has an incoming topic configured that makes use of topic remapping then if the remote connection sends a crafted publish packet to the bro,"In Eclipse Mosquito, versions from 2.0.0 through 2.0.18, if a Mosquitto broker is configured to create an outgoing bridge connection, and that bridge connection has an incoming topic configured that makes use of topic remapping, then if the remote connection sends a crafted PUBLISH packet to the bro",Improper Restriction of Operations within the Bounds of a Memory Buffer
ALPINE:CVE-2024-3935,"In Eclipse Mosquito, versions from 2.0.0 through 2.0.18, if a Mosquitto broker is configured to create an outgoing bridge connection, and that bridge connection has an incoming topic configured that makes use of topic remapping, then if the remote connection sends a crafted PUBLISH packet to the bro",Eclipse Mosquitto,CWE-122,Heap-based Buffer Overflow,Improper handling of crafted PUBLISH packets in bridge connections with topic remapping,Denial of Service via broker crash or potential arbitrary code execution,2024-10-30T12:15:03,6.0,MEDIUM,vulners,in eclipse mosquito versions from 200 through 2018 if a mosquitto broker is configured to create an outgoing bridge connection and that bridge connection has an incoming topic configured that makes use of topic remapping then if the remote connection sends a crafted publish packet to the bro,"In Eclipse Mosquito, versions from 2.0.0 through 2.0.18, if a Mosquitto broker is configured to create an outgoing bridge connection, and that bridge connection has an incoming topic configured that makes use of topic remapping, then if the remote connection sends a crafted PUBLISH packet to the bro",Heap-based Buffer Overflow
CVE-2024-3935,"In Eclipse Mosquito, versions from 2.0.0 through 2.0.18, if a Mosquitto broker is configured to create an outgoing bridge connection, and that bridge connection has an incoming topic configured that makes use of topic remapping, then if the remote connection sends a crafted PUBLISH packet to the bro",Eclipse Mosquitto,CWE-122,Heap-based Buffer Overflow,Improper handling of crafted PUBLISH packets in bridge connections with topic remapping,Denial of Service via broker crash or potential arbitrary code execution,2024-10-30T12:15:03,6.0,MEDIUM,vulners,in eclipse mosquito versions from 200 through 2018 if a mosquitto broker is configured to create an outgoing bridge connection and that bridge connection has an incoming topic configured that makes use of topic remapping then if the remote connection sends a crafted publish packet to the bro,"In Eclipse Mosquito, versions from 2.0.0 through 2.0.18, if a Mosquitto broker is configured to create an outgoing bridge connection, and that bridge connection has an incoming topic configured that makes use of topic remapping, then if the remote connection sends a crafted PUBLISH packet to the bro",Heap-based Buffer Overflow
OSV:CVE-2024-10525,"In Eclipse Mosquitto, from version 1.3.2 through 2.0.18, if a malicious broker sends a crafted SUBACK packet with no reason codes, a client using libmosquitto may make out of bounds memory access when acting in its on_subscribe callback. This affects the mosquitto_sub and mosquitto_rr clients.",Eclipse Mosquitto,CWE-125,Out-of-bounds Read,Failure to validate reason codes in SUBACK packet leading to out-of-bounds memory access,"Potential denial of service, information disclosure, or arbitrary code execution",2024-10-30T12:15:02,7.2,HIGH,vulners,in eclipse mosquitto from version 132 through 2018 if a malicious broker sends a crafted suback packet with no reason codes a client using libmosquitto may make out of bounds memory access when acting in its on_subscribe callback this affects the mosquitto_sub and mosquitto_rr clients,"In Eclipse Mosquitto, from version 1.3.2 through 2.0.18, if a malicious broker sends a crafted SUBACK packet with no reason codes, a client using libmosquitto may make out of bounds memory access when acting in its on_subscribe callback. This affects the mosquitto_sub and mosquitto_rr clients.",Out-of-bounds Read
DEBIANCVE:CVE-2024-10525,"In Eclipse Mosquitto, from version 1.3.2 through 2.0.18, if a malicious broker sends a crafted SUBACK packet with no reason codes, a client using libmosquitto may make out of bounds memory access when acting in its on_subscribe callback. This affects the mosquitto_sub and mosquitto_rr clients.",Eclipse Mosquitto,CWE-125,Out-of-bounds Read,Failure to validate reason codes in SUBACK packet leading to out-of-bounds memory access,"Potential denial of service, information disclosure, or arbitrary code execution",2024-10-30T12:15:02,7.2,HIGH,vulners,in eclipse mosquitto from version 132 through 2018 if a malicious broker sends a crafted suback packet with no reason codes a client using libmosquitto may make out of bounds memory access when acting in its on_subscribe callback this affects the mosquitto_sub and mosquitto_rr clients,"In Eclipse Mosquitto, from version 1.3.2 through 2.0.18, if a malicious broker sends a crafted SUBACK packet with no reason codes, a client using libmosquitto may make out of bounds memory access when acting in its on_subscribe callback. This affects the mosquitto_sub and mosquitto_rr clients.",Out-of-bounds Read
NVD:CVE-2024-10525,"In Eclipse Mosquitto, from version 1.3.2 through 2.0.18, if a malicious broker sends a crafted SUBACK packet with no reason codes, a client using libmosquitto may make out of bounds memory access when acting in its on_subscribe callback. This affects the mosquitto_sub and mosquitto_rr clients.",Eclipse Mosquitto,CWE-125,Out-of-bounds Read,Failure to validate reason codes in SUBACK packet leading to out-of-bounds memory access,"Potential denial of service, information disclosure, or arbitrary code execution",2024-10-30T12:15:02,9.8,CRITICAL,vulners,in eclipse mosquitto from version 132 through 2018 if a malicious broker sends a crafted suback packet with no reason codes a client using libmosquitto may make out of bounds memory access when acting in its on_subscribe callback this affects the mosquitto_sub and mosquitto_rr clients,"In Eclipse Mosquitto, from version 1.3.2 through 2.0.18, if a malicious broker sends a crafted SUBACK packet with no reason codes, a client using libmosquitto may make out of bounds memory access when acting in its on_subscribe callback. This affects the mosquitto_sub and mosquitto_rr clients.",Out-of-bounds Read
CVE-2024-10525,"In Eclipse Mosquitto, from version 1.3.2 through 2.0.18, if a malicious broker sends a crafted SUBACK packet with no reason codes, a client using libmosquitto may make out of bounds memory access when acting in its on_subscribe callback. This affects the mosquitto_sub and mosquitto_rr clients.",Eclipse Mosquitto,CWE-125,Out-of-bounds Read,Failure to validate reason codes in SUBACK packet leading to out-of-bounds memory access,"Potential denial of service, information disclosure, or arbitrary code execution",2024-10-30T12:15:02,7.2,HIGH,vulners,in eclipse mosquitto from version 132 through 2018 if a malicious broker sends a crafted suback packet with no reason codes a client using libmosquitto may make out of bounds memory access when acting in its on_subscribe callback this affects the mosquitto_sub and mosquitto_rr clients,"In Eclipse Mosquitto, from version 1.3.2 through 2.0.18, if a malicious broker sends a crafted SUBACK packet with no reason codes, a client using libmosquitto may make out of bounds memory access when acting in its on_subscribe callback. This affects the mosquitto_sub and mosquitto_rr clients.",Out-of-bounds Read
ALPINE:CVE-2024-10525,"In Eclipse Mosquitto, from version 1.3.2 through 2.0.18, if a malicious broker sends a crafted SUBACK packet with no reason codes, a client using libmosquitto may make out of bounds memory access when acting in its on_subscribe callback. This affects the mosquitto_sub and mosquitto_rr clients.",Eclipse Mosquitto,CWE-125,Out-of-bounds Read,Failure to validate reason codes in SUBACK packet leading to out-of-bounds memory access,"Potential denial of service, information disclosure, or arbitrary code execution",2024-10-30T12:15:02,7.2,HIGH,vulners,in eclipse mosquitto from version 132 through 2018 if a malicious broker sends a crafted suback packet with no reason codes a client using libmosquitto may make out of bounds memory access when acting in its on_subscribe callback this affects the mosquitto_sub and mosquitto_rr clients,"In Eclipse Mosquitto, from version 1.3.2 through 2.0.18, if a malicious broker sends a crafted SUBACK packet with no reason codes, a client using libmosquitto may make out of bounds memory access when acting in its on_subscribe callback. This affects the mosquitto_sub and mosquitto_rr clients.",Out-of-bounds Read
OSV:UBUNTU-CVE-2024-3935,"In Eclipse Mosquito, versions from 2.0.0 through 2.0.18, if a Mosquitto broker is configured to create an outgoing bridge connection, and that bridge connection has an incoming topic configured that makes use of topic remapping, then if the remote connection sends a crafted PUBLISH packet to the bro",Eclipse Mosquitto,CWE-122,Heap-based Buffer Overflow,Improper handling of crafted PUBLISH packets in bridge connections with topic remapping,Denial of Service via broker crash or potential arbitrary code execution,2024-10-30T12:15:00,6.0,MEDIUM,vulners,in eclipse mosquito versions from 200 through 2018 if a mosquitto broker is configured to create an outgoing bridge connection and that bridge connection has an incoming topic configured that makes use of topic remapping then if the remote connection sends a crafted publish packet to the bro,"In Eclipse Mosquito, versions from 2.0.0 through 2.0.18, if a Mosquitto broker is configured to create an outgoing bridge connection, and that bridge connection has an incoming topic configured that makes use of topic remapping, then if the remote connection sends a crafted PUBLISH packet to the bro",Heap-based Buffer Overflow
OSV:UBUNTU-CVE-2024-10525,"In Eclipse Mosquitto, from version 1.3.2 through 2.0.18, if a malicious broker sends a crafted SUBACK packet with no reason codes, a client using libmosquitto may make out of bounds memory access when acting in its on_subscribe callback. This affects the mosquitto_sub and mosquitto_rr clients.",Eclipse Mosquitto,CWE-125,Out-of-bounds Read,Improper handling of SUBACK packets with missing reason codes,Out-of-bounds memory access leading to crashes or potential information exposure,2024-10-30T12:15:00,7.2,HIGH,vulners,in eclipse mosquitto from version 132 through 2018 if a malicious broker sends a crafted suback packet with no reason codes a client using libmosquitto may make out of bounds memory access when acting in its on_subscribe callback this affects the mosquitto_sub and mosquitto_rr clients,"In Eclipse Mosquitto, from version 1.3.2 through 2.0.18, if a malicious broker sends a crafted SUBACK packet with no reason codes, a client using libmosquitto may make out of bounds memory access when acting in its on_subscribe callback. This affects the mosquitto_sub and mosquitto_rr clients.",Out-of-bounds Read
CVE-2024-10964,A vulnerability classified as critical has been found in emqx neuron up to 2.10.0. Affected is the function handle_add_plugin in the library cmd.library of the file plugins/restful/plugin_handle.c. The manipulation leads to buffer overflow. It is possible to launch the attack remotely. It is recomme,EMQX,CWE-120,Buffer Copy without Checking Size of Input ('Classic Buffer Overflow'),Insufficient input validation in handle_add_plugin function leading to buffer overflow,Remote code execution or denial of service via buffer overflow,2024-11-07T17:15:06,5.3,MEDIUM,vulners,a vulnerability classified as critical has been found in emqx neuron up to 2100 affected is the function handle_add_plugin in the library cmdlibrary of the file pluginsrestfulplugin_handlec the manipulation leads to buffer overflow it is possible to launch the attack remotely it is recomme,A vulnerability classified as critical has been found in emqx neuron up to 2.10.0. Affected is the function handle_add_plugin in the library cmd.library of the file plugins/restful/plugin_handle.c. The manipulation leads to buffer overflow. It is possible to launch the attack remotely. It is recomme,Buffer Copy without Checking Size of Input ('Classic Buffer Overflow')
NVD:CVE-2024-10965,A vulnerability classified as problematic was found in emqx neuron up to 2.10.0. Affected by this vulnerability is an unknown functionality of the file /api/v2/schema of the component JSON File Handler. The manipulation leads to information disclosure. The attack can be launched remotely. The patch ,EMQX,CWE-200,Exposure of Sensitive Information to an Unauthorized Actor,Insufficient access controls in the JSON File Handler component,Unauthorized remote information disclosure,2024-11-07T17:15:06,6.5,MEDIUM,vulners,a vulnerability classified as problematic was found in emqx neuron up to 2100 affected by this vulnerability is an unknown functionality of the file apiv2schema of the component json file handler the manipulation leads to information disclosure the attack can be launched remotely the patch ,A vulnerability classified as problematic was found in emqx neuron up to 2.10.0. Affected by this vulnerability is an unknown functionality of the file /api/v2/schema of the component JSON File Handler. The manipulation leads to information disclosure. The attack can be launched remotely. The patch ,Exposure of Sensitive Information to an Unauthorized Actor
NVD:CVE-2024-10964,A vulnerability classified as critical has been found in emqx neuron up to 2.10.0. Affected is the function handle_add_plugin in the library cmd.library of the file plugins/restful/plugin_handle.c. The manipulation leads to buffer overflow. It is possible to launch the attack remotely. It is recomme,EMQX,CWE-120,Buffer Copy without Checking Size of Input ('Classic Buffer Overflow'),Insufficient input validation in handle_add_plugin function leading to buffer overflow,Remote code execution or denial of service via buffer overflow,2024-11-07T17:15:06,9.8,CRITICAL,vulners,a vulnerability classified as critical has been found in emqx neuron up to 2100 affected is the function handle_add_plugin in the library cmdlibrary of the file pluginsrestfulplugin_handlec the manipulation leads to buffer overflow it is possible to launch the attack remotely it is recomme,A vulnerability classified as critical has been found in emqx neuron up to 2.10.0. Affected is the function handle_add_plugin in the library cmd.library of the file plugins/restful/plugin_handle.c. The manipulation leads to buffer overflow. It is possible to launch the attack remotely. It is recomme,Buffer Copy without Checking Size of Input ('Classic Buffer Overflow')
OSV:CVE-2024-10964,A vulnerability classified as critical has been found in emqx neuron up to 2.10.0. Affected is the function handle_add_plugin in the library cmd.library of the file plugins/restful/plugin_handle.c. The manipulation leads to buffer overflow. It is possible to launch the attack remotely. It is recomme,EMQX,CWE-120,Buffer Copy without Checking Size of Input ('Classic Buffer Overflow'),Insufficient input validation in handle_add_plugin function leading to buffer overflow,Remote code execution or denial of service via buffer overflow,2024-11-07T17:15:06,5.3,MEDIUM,vulners,a vulnerability classified as critical has been found in emqx neuron up to 2100 affected is the function handle_add_plugin in the library cmdlibrary of the file pluginsrestfulplugin_handlec the manipulation leads to buffer overflow it is possible to launch the attack remotely it is recomme,A vulnerability classified as critical has been found in emqx neuron up to 2.10.0. Affected is the function handle_add_plugin in the library cmd.library of the file plugins/restful/plugin_handle.c. The manipulation leads to buffer overflow. It is possible to launch the attack remotely. It is recomme,Buffer Copy without Checking Size of Input ('Classic Buffer Overflow')
CVE-2024-10965,A vulnerability classified as problematic was found in emqx neuron up to 2.10.0. Affected by this vulnerability is an unknown functionality of the file /api/v2/schema of the component JSON File Handler. The manipulation leads to information disclosure. The attack can be launched remotely. The patch ,EMQX,CWE-200,Exposure of Sensitive Information to an Unauthorized Actor,Insufficient access controls in the JSON File Handler component,Unauthorized remote information disclosure,2024-11-07T17:15:06,5.3,MEDIUM,vulners,a vulnerability classified as problematic was found in emqx neuron up to 2100 affected by this vulnerability is an unknown functionality of the file apiv2schema of the component json file handler the manipulation leads to information disclosure the attack can be launched remotely the patch ,A vulnerability classified as problematic was found in emqx neuron up to 2.10.0. Affected by this vulnerability is an unknown functionality of the file /api/v2/schema of the component JSON File Handler. The manipulation leads to information disclosure. The attack can be launched remotely. The patch ,Exposure of Sensitive Information to an Unauthorized Actor
OSV:CVE-2024-10965,A vulnerability classified as problematic was found in emqx neuron up to 2.10.0. Affected by this vulnerability is an unknown functionality of the file /api/v2/schema of the component JSON File Handler. The manipulation leads to information disclosure. The attack can be launched remotely. The patch ,EMQX,CWE-200,Exposure of Sensitive Information to an Unauthorized Actor,Insufficient access controls in the JSON File Handler component,Unauthorized remote information disclosure,2024-11-07T17:15:06,5.3,MEDIUM,vulners,a vulnerability classified as problematic was found in emqx neuron up to 2100 affected by this vulnerability is an unknown functionality of the file apiv2schema of the component json file handler the manipulation leads to information disclosure the attack can be launched remotely the patch ,A vulnerability classified as problematic was found in emqx neuron up to 2.10.0. Affected by this vulnerability is an unknown functionality of the file /api/v2/schema of the component JSON File Handler. The manipulation leads to information disclosure. The attack can be launched remotely. The patch ,Exposure of Sensitive Information to an Unauthorized Actor
VULNRICHMENT:CVE-2024-10965,A vulnerability classified as problematic was found in emqx neuron up to 2.10.0. Affected by this vulnerability is an unknown functionality of the file /api/v2/schema of the component JSON File Handler. The manipulation leads to information disclosure. The attack can be launched remotely. The patch ,EMQX,CWE-200,Exposure of Sensitive Information to an Unauthorized Actor,Improper handling of the /api/v2/schema endpoint in the JSON File Handler,Unauthorized remote access to sensitive information leading to information disclosure,2024-11-07T17:00:12,5.3,MEDIUM,vulners,a vulnerability classified as problematic was found in emqx neuron up to 2100 affected by this vulnerability is an unknown functionality of the file apiv2schema of the component json file handler the manipulation leads to information disclosure the attack can be launched remotely the patch ,A vulnerability classified as problematic was found in emqx neuron up to 2.10.0. Affected by this vulnerability is an unknown functionality of the file /api/v2/schema of the component JSON File Handler. The manipulation leads to information disclosure. The attack can be launched remotely. The patch ,Exposure of Sensitive Information to an Unauthorized Actor
CVELIST:CVE-2024-10965,A vulnerability classified as problematic was found in emqx neuron up to 2.10.0. Affected by this vulnerability is an unknown functionality of the file /api/v2/schema of the component JSON File Handler. The manipulation leads to information disclosure. The attack can be launched remotely. The patch ,EMQX,CWE-200,Exposure of Sensitive Information to an Unauthorized Actor,Insufficient access controls in the JSON File Handler component,Unauthorized remote information disclosure,2024-11-07T17:00:12,5.3,MEDIUM,vulners,a vulnerability classified as problematic was found in emqx neuron up to 2100 affected by this vulnerability is an unknown functionality of the file apiv2schema of the component json file handler the manipulation leads to information disclosure the attack can be launched remotely the patch ,A vulnerability classified as problematic was found in emqx neuron up to 2.10.0. Affected by this vulnerability is an unknown functionality of the file /api/v2/schema of the component JSON File Handler. The manipulation leads to information disclosure. The attack can be launched remotely. The patch ,Exposure of Sensitive Information to an Unauthorized Actor
VULNRICHMENT:CVE-2024-10964,A vulnerability classified as critical has been found in emqx neuron up to 2.10.0. Affected is the function handle_add_plugin in the library cmd.library of the file plugins/restful/plugin_handle.c. The manipulation leads to buffer overflow. It is possible to launch the attack remotely. It is recomme,EMQX,CWE-120,Buffer Copy without Checking Size of Input ('Classic Buffer Overflow'),Insufficient input validation in handle_add_plugin function leading to buffer overflow,Remote code execution or denial of service via buffer overflow,2024-11-07T17:00:09,5.3,MEDIUM,vulners,a vulnerability classified as critical has been found in emqx neuron up to 2100 affected is the function handle_add_plugin in the library cmdlibrary of the file pluginsrestfulplugin_handlec the manipulation leads to buffer overflow it is possible to launch the attack remotely it is recomme,A vulnerability classified as critical has been found in emqx neuron up to 2.10.0. Affected is the function handle_add_plugin in the library cmd.library of the file plugins/restful/plugin_handle.c. The manipulation leads to buffer overflow. It is possible to launch the attack remotely. It is recomme,Buffer Copy without Checking Size of Input ('Classic Buffer Overflow')
CVELIST:CVE-2024-10964,A vulnerability classified as critical has been found in emqx neuron up to 2.10.0. Affected is the function handle_add_plugin in the library cmd.library of the file plugins/restful/plugin_handle.c. The manipulation leads to buffer overflow. It is possible to launch the attack remotely. It is recomme,EMQX,CWE-120,Buffer Copy without Checking Size of Input ('Classic Buffer Overflow'),Improper input validation in handle_add_plugin leading to buffer overflow,Remote code execution or denial of service,2024-11-07T17:00:09,5.3,MEDIUM,vulners,a vulnerability classified as critical has been found in emqx neuron up to 2100 affected is the function handle_add_plugin in the library cmdlibrary of the file pluginsrestfulplugin_handlec the manipulation leads to buffer overflow it is possible to launch the attack remotely it is recomme,A vulnerability classified as critical has been found in emqx neuron up to 2.10.0. Affected is the function handle_add_plugin in the library cmd.library of the file plugins/restful/plugin_handle.c. The manipulation leads to buffer overflow. It is possible to launch the attack remotely. It is recomme,Buffer Copy without Checking Size of Input ('Classic Buffer Overflow')
CVE-2024-44460,An invalid read size in Nanomq v0.21.9 allows attackers to cause a Denial of Service (DoS).,EMQX,CWE-125,Out-of-bounds Read,Invalid read size due to improper buffer size handling,Denial of Service (DoS),2024-09-12T20:15:04,7.5,HIGH,vulners,an invalid read size in nanomq v0219 allows attackers to cause a denial of service dos,An invalid read size in Nanomq v0.21.9 allows attackers to cause a Denial of Service (DoS).,Out-of-bounds Read
OSV:CVE-2023-37781,An issue in the emqx_sn plugin of EMQX v4.3.8 allows attackers to execute a directory traversal via uploading a crafted .txt file.,EMQX,CWE-22,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),Insufficient validation of file paths in the emqx_sn plugin allowing crafted .txt files to traverse directories,Unauthorized access to files and directories via directory traversal,2023-07-17T20:15:13,6.5,MEDIUM,vulners,an issue in the emqx_sn plugin of emqx v438 allows attackers to execute a directory traversal via uploading a crafted txt file,An issue in the emqx_sn plugin of EMQX v4.3.8 allows attackers to execute a directory traversal via uploading a crafted .txt file.,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')
